Código da unidade,Unidade,Código do item,Descrição,Categoria,Unidade de medida,Quantidade atual,Estoque mínimo,Fornecedor,Custo unitário (R$),Data da última entrada,Data de validade,Lote,Local de armazenamento,Status de estoque,Ação recomendada
CA-CPS-01,Centro,ING-001,Café em grãos Aurora Clássico,Grãos e pós,kg,16.0,8,Serra Alta Cafés,18.5,2026-07-26,2026-11-23,L260726-101,Estoque seco A,NORMAL,Sem ação
CA-CPS-01,Centro,ING-003,Leite integral,Laticínios,L,20.4,24,Laticínios Boa Serra,4.9,2026-07-25,2026-08-04,L260725-102,Refrigerador 1,ATENÇÃO,Incluir no próximo pedido
CA-CPS-01,Centro,ING-004,Leite sem lactose,Laticínios,L,8.4,8,Laticínios Boa Serra,6.2,2026-07-24,2026-08-05,L260724-103,Refrigerador 1,NORMAL,Sem ação
CA-CPS-01,Centro,ING-005,Bebida vegetal de aveia,Bebidas vegetais,L,11.4,6,Verde Campo Alimentos,9.8,2026-07-23,2026-09-06,L260723-104,Refrigerador 2,NORMAL,Sem ação
CA-CPS-01,Centro,ING-007,Bebida vegetal de soja,Bebidas vegetais,L,2.25,5,Verde Campo Alimentos,8.9,2026-07-22,2026-09-05,L260722-105,Refrigerador 2,CRÍTICO,Solicitar reposição imediata
CA-CPS-01,Centro,ING-008,Calda de chocolate,Grãos e pós,frasco,3.4,4,Doce Ponto,16.0,2026-07-21,2027-01-17,L260721-106,Estoque seco A,ATENÇÃO,Incluir no próximo pedido
CA-CPS-01,Centro,ING-009,Calda de caramelo,Grãos e pós,frasco,5.4,3,Doce Ponto,17.5,2026-07-20,2027-01-16,L260720-107,Estoque seco A,NORMAL,Sem ação
CA-CPS-01,Centro,ING-010,Chocolate em pó,Grãos e pós,kg,6.0,3,Doce Ponto,22.0,2026-07-19,2027-03-16,L260719-108,Estoque seco A,NORMAL,Sem ação
CA-CPS-01,Centro,ING-014,Canela em pó,Grãos e pós,kg,0.85,1,Temperos Horizonte,28.0,2026-07-18,2027-07-18,L260718-109,Estoque seco A,ATENÇÃO,Incluir no próximo pedido
CA-CPS-01,Centro,ING-016,Queijo muçarela,Laticínios,kg,5.25,5,Laticínios Boa Serra,34.0,2026-07-17,2026-07-29,L260717-110,Refrigerador 1,NORMAL,Sem ação
CA-CPS-01,Centro,ING-017,Peito de peru,Alimentos refrigerados,kg,5.7,3,Sabor & Corte,38.0,2026-07-16,2026-07-28,L260716-111,Refrigerador 3,NORMAL,Sem ação
CA-CPS-01,Centro,ING-018,Frango desfiado,Alimentos refrigerados,kg,1.8,4,Cozinha Central Aurora,29.0,2026-07-15,2026-07-23,L260715-112,Refrigerador 3,CRÍTICO,Solicitar reposição imediata
CA-CPS-01,Centro,EMB-001,Copo quente 180 ml,Embalagens,un,255.0,300,PackBem Embalagens,0.22,2026-07-14,2028-07-13,L260714-113,Estoque seco B,ATENÇÃO,Incluir no próximo pedido
CA-CPS-01,Centro,EMB-002,Copo quente 300 ml,Embalagens,un,450.0,250,PackBem Embalagens,0.28,2026-07-13,2028-07-12,L260713-114,Estoque seco B,NORMAL,Sem ação
CA-CPS-01,Centro,EMB-003,Copo frio 400 ml,Embalagens,un,500.0,250,PackBem Embalagens,0.32,2026-07-12,2028-07-11,L260712-115,Estoque seco B,NORMAL,Sem ação
CA-CPS-01,Centro,EMB-007,Tampa para bebida gelada,Embalagens,un,255.0,300,PackBem Embalagens,0.16,2026-07-11,2028-07-10,L260711-116,Estoque seco B,ATENÇÃO,Incluir no próximo pedido
CA-CPS-01,Centro,EMB-010,Sacola pequena,Embalagens,un,157.5,150,PackBem Embalagens,0.18,2026-07-10,2028-07-09,L260710-117,Estoque seco B,NORMAL,Sem ação
CA-CPS-01,Centro,EMB-012,Guardanapo,Embalagens,un,1900.0,1000,PackBem Embalagens,0.03,2026-07-09,2028-07-08,L260709-118,Estoque seco B,NORMAL,Sem ação
CA-CPS-01,Centro,LIM-001,Detergente neutro,Produtos de limpeza,L,2.25,5,Higiene Ideal,7.5,2026-07-08,2027-07-08,L260708-119,Armário de limpeza,CRÍTICO,Solicitar reposição imediata
